Job Title,Company Name,Location,Skills,Links
Senior Ruby On Rails Developer - Remote,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ruby · Agile · Computer Science · CSS · DevOps · Engineering · HTML · Information Technology (IT),https://wuzzuf.net//jobs/p/RILSHWlbIyqY-Senior-Ruby-On-Rails-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb
Senior Embedded System Engineer,Confidential -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Manufacturing/Production · Engineering - Telecom/Technology · Python · Software Development · Software · Software Engineering · Electronics · Engineering · Design,https://wuzzuf.net//jobs/p/v7dG4P0lp0MH-Senior-Embedded-System-Engineer-Giza-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb
Senior Odoo Developer,Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Odoo · PostgreSQL · XML · Python · Computer Science · javaScript,https://wuzzuf.net//jobs/p/akrIAelAqQKc-Senior-Odoo-Developer-Crevisoft-Corporation-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|hpb
Head of Data team,Edentech -,"Dokki, Giza, Egypt ",Full TimeManager · 8+ Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · apache Nifi · MongoDB · Computer Science · Data Analysis · Data Modeling · Python · Management,https://wuzzuf.net//jobs/p/JSUGAuHUWrXp-Head-of-Data-team-Edentech-Giza-Egypt?o=57&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Management Engineer,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Informatica · ODI · SSIS · Data Integration · ETL · Data Management · Information Technology (IT) · Communication skills,https://wuzzuf.net//jobs/p/XjXLoDFAcP7h-Senior-Data-Management-Engineer-BBI-Consultancy-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|hpb
C++ Software Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · c++ · Git · AUTOSAR · Linux · Agile · OOP · Python · Scrum,https://wuzzuf.net//jobs/p/wpCkmMS5x4K0-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,Yodawy -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Software Development · GitHub · HTML · PostgreSQL · JavaScript · JQuery · ORM,https://wuzzuf.net//jobs/p/VjbYVmalTdco-Odoo-Developer-Yodawy-Giza-Egypt?o=60&l=sp&t=sj&a=python|search-v3|hpb
Senior BI Developer,LINK Development -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · T-SQL · OLAP · BI · SQL · SSRS · ETL · Power BI · Data Warehouse,https://wuzzuf.net//jobs/p/Asr3KKEmiMLz-Senior-BI-Developer-LINK-Development-Cairo-Egypt?o=61&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer,Nana -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · DevOps · Docker · Engineering · Git · Information Technology (IT) · Jenkins · Linux,https://wuzzuf.net//jobs/p/62JsKGCRPO0O-Senior-DevOps-Engineer-Nana-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|hpb
(Senior) Data Engineer (m/f/d),WorkMotion -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Python · SQL · Data Engineering · Agile Software Development,https://wuzzuf.net//jobs/p/v8zvCdD1tnmv-Senior-Data-Engineer-mfd-WorkMotion-Cairo-Egypt?o=63&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer,Luftborn -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · DevOps · Docker · Git · Engineering · Computer Science · Networking,https://wuzzuf.net//jobs/p/dQc63MeKPfQ8-Senior-DevOps-Engineer-Luftborn-Cairo-Egypt?o=64&l=sp&t=sj&a=python|search-v3|hpb
Software Engineer,Shebak -,"Smart Village, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · PostgreSQL · C++ · Meta-Classes · Git · Unix · Linux,https://wuzzuf.net//jobs/p/2GXWc6P28KME-Software-Engineer-Shebak-Giza-Egypt?o=65&l=sp&t=sj&a=python|search-v3|hpb
Senior Odoo Developer,Alarabia Group -,"10th of Ramadan City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · CSS · Git · HTML · Information Technology (IT),https://wuzzuf.net//jobs/p/74V42lj5ahVt-Senior-Odoo-Developer-Alarabia-Group-Cairo-Egypt?o=66&l=sp&t=sj&a=python|search-v3|hpb
System Administrator,Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · IT · network · Software · System Administration · Documentation · networks · LAN · MCSA,https://wuzzuf.net//jobs/p/FJb0plXaPPnU-System-Administrator-Crevisoft-Corporation-Cairo-Egypt?o=67&l=sp&t=sj&a=python|search-v3|hpb
